product_name,product_category,price,ecommerce_website_name
Skydome 6-Person Tent with Full-Fly Vestibule,Tents,230,https://www.rei.com/product/246477/coleman-skydome-6-person-tent-with-full-fly-vestibule
Tungsten 4P Tent with Footprint,Tents,399,https://www.rei.com/product/200302/marmot-tungsten-4p-tent-with-footprint
PEAK1 4-Person Dome Tent,Tents,440,https://www.rei.com/product/206172/coleman-peak1-4-person-dome-tent
Trailmade 2 Tent with Footprint,Tents,199,https://www.rei.com/product/216300/rei-co-op-trailmade-2-tent-with-footprint
Wawona 6 Tent,Tents,550,https://www.rei.com/product/242726/the-north-face-wawona-6-tent
Aurora Highrise 6P Tent,Tents,499.95,https://www.rei.com/product/200654/nemo-aurora-highrise-6p-tent
Tungsten 2P Tent with Footprint,Tents,249,https://www.rei.com/product/200288/marmot-tungsten-2p-tent-with-footprint
Base Camp 4 Tent,Tents,474,https://www.rei.com/product/227740/rei-co-op-base-camp-4-tent
Dagger OSMO 2P Tent,Tents,529.95,https://www.rei.com/product/200550/nemo-dagger-osmo-2p-tent
Acropolis 3 Tent,Tents,249.99,https://www.rei.com/product/193072/alps-mountaineering-acropolis-3-tent
Catena 30 Sleeping Bag,Sleeping Bag,49.95,https://www.rei.com/product/187510/kelty-catena-30-sleeping-bag
Dolomite One Sleeping Bag,Sleeping Bag,110.93,https://www.rei.com/product/153328/the-north-face-dolomite-one-sleeping-bag
Tempo 20 Synthetic Sleeping Bag - Men's,Sleeping Bag,179.95,https://www.rei.com/product/215981/nemo-tempo-20-synthetic-sleeping-bag-mens
Frostbreak 5 Sleeping Bag,Sleeping Bag,149,https://www.rei.com/product/177469/rei-co-op-frostbreak-5-sleeping-bag
Trailmade 20 Sleeping Bag,Sleeping Bag,99.95,https://www.rei.com/product/217592/rei-co-op-trailmade-20-sleeping-bag
Disco 15 Endless Promise Down Sleeping Bag - Women's,Sleeping Bag,329.95,https://www.rei.com/product/228439/nemo-disco-15-endless-promise-down-sleeping-bag-womens
Cosmic 20 Sleeping Bag - Men's,Sleeping Bag,189.95,https://www.rei.com/product/231267/kelty-cosmic-20-sleeping-bag-mens
20F Synthetic Sleeping Bag,Sleeping Bag,149.99,https://www.rei.com/product/183130/klymit-20f-synthetic-sleeping-bag
Kindercone 25 Sleeping Bag - Kids',Sleeping Bag,69.95,https://www.rei.com/product/223722/rei-co-op-kindercone-25-sleeping-bag-kids
Anthracite 20 Sleeping Bag - Men's,Sleeping Bag,139.95,https://www.rei.com/product/216102/big-agnes-anthracite-20-sleeping-bag-mens
Magma 15 Sleeping Bag,Sleeping Bag,429,https://www.rei.com/product/228704/rei-co-op-magma-15-sleeping-bag
Galactic 30 Sleeping Bag,Sleeping Bag,169.95,https://www.rei.com/product/202211/kelty-galactic-30-sleeping-bag
Switchback Sleeping Pad,Sleeping Pad,59.95,https://www.rei.com/product/141846/nemo-switchback-sleeping-pad
Silver Springs Self-Inflating Camping Pad,Sleeping Pad,60,https://www.rei.com/product/229272/coleman-silver-springs-self-inflating-camping-pad
Z Lite Sol Sleeping Pad,Sleeping Pad,59.95,https://www.rei.com/product/829826/therm-a-rest-z-lite-sol-sleeping-pad
Trail Pro Sleeping Pad,Sleeping Pad,154.95,https://www.rei.com/product/171686/therm-a-rest-trail-pro-sleeping-pad
Divide Insulated Sleeping Pad,Sleeping Pad,119.95,https://www.rei.com/product/216101/big-agnes-divide-insulated-sleeping-pad
Tensor Trail Ultralight Insulated Sleeping Pad,Sleeping Pad,179.95,https://www.rei.com/product/228438/nemo-tensor-trail-ultralight-insulated-sleeping-pad
Tensor Extreme Conditions Ultralight Insulated Sleeping Pad,Sleeping Pad,249.95,https://www.rei.com/product/228437/nemo-tensor-extreme-conditions-ultralight-insulated-sleeping-pad
Campwell Sleeping Pad,Sleeping Pad,119,https://www.rei.com/product/228267/rei-co-op-campwell-sleeping-pad
NeoAir XLite NXT Sleeping Pad,Sleeping Pad,209.95,https://www.rei.com/product/241034/therm-a-rest-neoair-xlite-nxt-sleeping-pad
Tensor All-Season Ultralight Insulated Sleeping Pad,Sleeping Pad,199.95,https://www.rei.com/product/228436/nemo-tensor-all-season-ultralight-insulated-sleeping-pad
Self-Inflating 2.5 Camp Pad - Large,Sleeping Pad,109,https://www.rei.com/product/171847/mountain-summit-gear-self-inflating-25-camp-pad-large
Rapide SL Insulated Sleeping Pad,Sleeping Pad,149.95,https://www.rei.com/product/229190/big-agnes-rapide-sl-insulated-sleeping-pad
Flexlite Camp Boss Chair,Camping Chair,89.95,https://www.rei.com/product/228238/rei-co-op-flexlite-camp-boss-chair
Skyward Chair,Camping Chair,59.95,https://www.rei.com/product/217994/rei-co-op-skyward-chair
Cooler Quad Chair,Camping Chair,45,https://www.rei.com/product/182024/coleman-cooler-quad-chair
Flexlite Air Chair,Camping Chair,99.95,https://www.rei.com/product/148036/rei-co-op-flexlite-air-chair
Eazy Chair XL,Camping Chair,60,https://www.rei.com/product/247977/gci-outdoor-eazy-chair-xl
Freestyle Rocker Chair with Side Table,Camping Chair,75,https://www.rei.com/product/205044/gci-outdoor-freestyle-rocker-chair-with-side-table
Moonlite Elite Reclining Backpacking Chair,Camping Chair,179.95,https://www.rei.com/product/228134/nemo-moonlite-elite-reclining-backpacking-chair
Lowdown Chair,Camping Chair,74.95,https://www.rei.com/product/186919/kelty-lowdown-chair
RoadTrip Rocker Chair,Camping Chair,80,https://www.rei.com/product/162298/gci-outdoor-roadtrip-rocker-chair
Flexlite Air Stool,Camping Chair,59.95,https://www.rei.com/product/217602/rei-co-op-flexlite-air-stool
Chair Zero,Camping Chair,139.95,https://www.rei.com/product/158004/helinox-chair-zero
Trail Stool,Camping Chair,24.95,https://www.rei.com/product/232980/rei-co-op-trail-stool
Trail 25 Pack,Backpack,99.95,https://www.rei.com/product/227955/rei-co-op-trail-25-pack
Trail 40 Pack - Men's,Backpack,149,https://www.rei.com/product/227956/rei-co-op-trail-40-pack-mens
Arete 14 Hydration Pack,Backpack,65,https://www.rei.com/product/238113/camelbak-arete-14-hydration-pack
Aether 65 Pack - Men's,Backpack,320,https://www.rei.com/product/177493/osprey-aether-65-pack-mens
Amber 65 Pack - Women's,Backpack,239,https://www.rei.com/product/241187/gregory-amber-65-pack-womens
Stratos 24 Pack - Men's,Backpack,180,https://www.rei.com/product/201309/osprey-stratos-24-pack-mens
Aether Plus 100 Pack - Men's,Backpack,450,https://www.rei.com/product/177496/osprey-aether-plus-100-pack-mens
Aether 55 Pack - Men's,Backpack,300,https://www.rei.com/product/177492/osprey-aether-55-pack-mens
Skimmer 28 Hydration Pack - Women's,Backpack,150,https://www.rei.com/product/218567/osprey-skimmer-28-hydration-pack-womens
Resolve 15 L Endless Promise Technical Active Pack,Backpack,159.95,https://www.rei.com/product/228827/nemo-resolve-15-l-endless-promise-technical-active-pack
Trail 30 Pack - Men's,Backpack,150,https://www.rei.com/product/218758/deuter-trail-30-pack-mens
Scree 33 Pack - Women's,Backpack,275,https://www.rei.com/product/231621/mystery-ranch-scree-33-pack-womens
Cascade Classic Camp Stove,Camping Stove,100,https://www.rei.com/product/204933/coleman-cascade-classic-camp-stove
Classic 1-Burner Butane Camping Stove,Camping Stove,36,https://www.rei.com/product/240815/coleman-classic-1-burner-butane-camping-stove
PocketRocket 2 Stove,Camping Stove,59.95,https://www.rei.com/product/114890/msr-pocketrocket-2-stove
Cascade 222 2-Burner Camp Stove,Camping Stove,170,https://www.rei.com/product/204840/coleman-cascade-222-2-burner-camp-stove
Amicus Stove Cookset Combo,Camping Stove,49.95,https://www.rei.com/product/149091/soto-amicus-stove-cookset-combo
Flash Cooking System,Camping Stove,129.95,https://www.rei.com/product/127968/jetboil-flash-cooking-system
2-Burner DLX Wide Stove,Camping Stove,129.95,https://www.rei.com/product/242669/zempire-2-burner-dlx-wide-stove
Glacier Camp Stove,Camping Stove,29.95,https://www.rei.com/product/123404/gsi-outdoors-glacier-camp-stove
Genesis Basecamp System Camp Stove,Camping Stove,399.95,https://www.rei.com/product/100060/jetboil-genesis-basecamp-system-camp-stove
Stash Cooking System,Camping Stove,149.95,https://www.rei.com/product/186174/jetboil-stash-cooking-system
WindMaster Stove with 4Flex Pot Support,Camping Stove,69.95,https://www.rei.com/product/177954/soto-windmaster-stove-with-4flex-pot-support
Cascade 18 1-Burner Camp Stove,Camping Stove,80,https://www.rei.com/product/204839/coleman-cascade-18-1-burner-camp-stove
Trailmade Trekking Poles - Pair,Trekking Pole,79.95,https://www.rei.com/product/216314/rei-co-op-trailmade-trekking-poles-pair
Trail Back Trekking Poles - Pair,Trekking Pole,89.95,https://www.rei.com/product/228965/black-diamond-trail-back-trekking-poles-pair
Trail Trekking Poles - Pair - Women's,Trekking Pole,119.95,https://www.rei.com/product/147517/black-diamond-trail-trekking-poles-pair-womens
Mountaineer Powerlock Foam Trekking Poles - Pair,Trekking Pole,129.95,https://www.rei.com/product/246820/komperdell-mountaineer-powerlock-foam-trekking-poles-pair
Alpine Carbon Cork Trekking Poles - Pair,Trekking Pole,209.95,https://www.rei.com/product/147512/black-diamond-alpine-carbon-cork-trekking-poles-pair
Traverse Trekking Poles - Pair,Trekking Pole,119,https://www.rei.com/product/168719/rei-co-op-traverse-trekking-poles-pair
Distance Carbon Z Poles - Pair,Trekking Pole,189.95,https://www.rei.com/product/202395/black-diamond-distance-carbon-z-poles-pair
Pursuit Trekking Poles - Pair,Trekking Pole,149.95,https://www.rei.com/product/216638/black-diamond-pursuit-trekking-poles-pair
Swiftland TT Carbon Folding Trekking Poles - Pair,Trekking Pole,169,https://www.rei.com/product/227844/rei-co-op-swiftland-tt-carbon-folding-trekking-poles-pair
Lhasa Trekking Poles - Pair - Women's,Trekking Pole,99.95,https://www.rei.com/product/203974/leki-lhasa-trekking-poles-pair-womens
Distance Z Trekking Poles - Pair,Trekking Pole,139.95,https://www.rei.com/product/202396/black-diamond-distance-z-trekking-poles-pair
Cross Trail Lite TA Trekking Poles - Pair,Trekking Pole,149.95,https://www.rei.com/product/244535/leki-cross-trail-lite-ta-trekking-poles-pair
